team,match_rank_recent,date,tournament,neutral,side,opponent,home_team,away_team,home_score,away_score,team_scoreline,team_result,city,country
Czech Republic,11,2025-06-09,FIFA World Cup qualification,0,away,Croatia,Croatia,Czech Republic,5,1,1-5,L,Osijek,Croatia
Czech Republic,12,2025-06-06,FIFA World Cup qualification,0,home,Montenegro,Czech Republic,Montenegro,2,0,2-0,W,Plzeň,Czech Republic
Czech Republic,13,2025-03-25,FIFA World Cup qualification,1,neutral,Gibraltar,Gibraltar,Czech Republic,0,4,4-0,W,Faro-Loulé,Portugal
Czech Republic,14,2025-03-22,FIFA World Cup qualification,0,home,Faroe Islands,Czech Republic,Faroe Islands,2,1,2-1,W,Hradec Králové,Czech Republic
Czech Republic,15,2024-11-19,UEFA Nations League,0,home,Georgia,Czech Republic,Georgia,2,1,2-1,W,Olomouc,Czech Republic
Czech Republic,16,2024-11-16,UEFA Nations League,0,away,Albania,Albania,Czech Republic,0,0,0-0,D,Tirana,Albania
Czech Republic,17,2024-10-14,UEFA Nations League,1,neutral,Ukraine,Ukraine,Czech Republic,1,1,1-1,D,Wrocław,Poland
Czech Republic,18,2024-10-11,UEFA Nations League,0,home,Albania,Czech Republic,Albania,2,0,2-0,W,Prague,Czech Republic
Czech Republic,19,2024-09-10,UEFA Nations League,0,home,Ukraine,Czech Republic,Ukraine,3,2,3-2,W,Prague,Czech Republic
Czech Republic,20,2024-09-07,UEFA Nations League,0,away,Georgia,Georgia,Czech Republic,4,1,1-4,L,Tbilisi,Georgia
Czech Republic,21,2024-06-26,UEFA Euro,1,neutral,Turkey,Czech Republic,Turkey,1,2,1-2,L,Hamburg,Germany
Czech Republic,22,2024-06-22,UEFA Euro,1,neutral,Georgia,Georgia,Czech Republic,1,1,1-1,D,Hamburg,Germany
Czech Republic,23,2024-06-18,UEFA Euro,1,neutral,Portugal,Portugal,Czech Republic,2,1,1-2,L,Leipzig,Germany
Czech Republic,24,2024-06-10,Friendly,0,home,North Macedonia,Czech Republic,North Macedonia,2,1,2-1,W,Hradec Králové,Czech Republic
Czech Republic,25,2024-06-07,Friendly,1,neutral,Malta,Czech Republic,Malta,7,1,7-1,W,Grödig,Austria
Czech Republic,26,2024-03-26,Friendly,0,home,Armenia,Czech Republic,Armenia,2,1,2-1,W,Prague,Czech Republic
Czech Republic,27,2024-03-22,Friendly,0,away,Norway,Norway,Czech Republic,1,2,2-1,W,Oslo,Norway
Czech Republic,28,2023-11-20,UEFA Euro qualification,0,home,Moldova,Czech Republic,Moldova,3,0,3-0,W,Olomouc,Czech Republic
Czech Republic,29,2023-11-17,UEFA Euro qualification,0,away,Poland,Poland,Czech Republic,1,1,1-1,D,Warsaw,Poland
Czech Republic,30,2023-10-15,UEFA Euro qualification,0,home,Faroe Islands,Czech Republic,Faroe Islands,1,0,1-0,W,Plzeň,Czech Republic
Czech Republic,31,2023-10-12,UEFA Euro qualification,0,away,Albania,Albania,Czech Republic,3,0,0-3,L,Tirana,Albania
Czech Republic,32,2023-09-10,Friendly,0,away,Hungary,Hungary,Czech Republic,1,1,1-1,D,Budapest,Hungary
Czech Republic,33,2023-09-07,UEFA Euro qualification,0,home,Albania,Czech Republic,Albania,1,1,1-1,D,Prague,Czech Republic
Czech Republic,34,2023-06-20,Friendly,0,away,Montenegro,Montenegro,Czech Republic,1,4,4-1,W,Podgorica,Montenegro
Czech Republic,35,2023-06-17,UEFA Euro qualification,0,away,Faroe Islands,Faroe Islands,Czech Republic,0,3,3-0,W,Tórshavn,Faroe Islands
Czech Republic,36,2023-03-27,UEFA Euro qualification,0,away,Moldova,Moldova,Czech Republic,0,0,0-0,D,Chișinău,Moldova
Czech Republic,37,2023-03-24,UEFA Euro qualification,0,home,Poland,Czech Republic,Poland,3,1,3-1,W,Prague,Czech Republic
Czech Republic,38,2022-11-19,Friendly,0,away,Turkey,Turkey,Czech Republic,2,1,1-2,L,Gaziantep,Turkey
Czech Republic,39,2022-11-16,Friendly,0,home,Faroe Islands,Czech Republic,Faroe Islands,5,0,5-0,W,Olomouc,Czech Republic
Czech Republic,40,2022-09-27,UEFA Nations League,0,away,Switzerland,Switzerland,Czech Republic,2,1,1-2,L,St. Gallen,Switzerland
Czech Republic,41,2022-09-24,UEFA Nations League,0,home,Portugal,Czech Republic,Portugal,0,4,0-4,L,Prague,Czech Republic
Czech Republic,42,2022-06-12,UEFA Nations League,0,away,Spain,Spain,Czech Republic,2,0,0-2,L,Málaga,Spain
Czech Republic,43,2022-06-09,UEFA Nations League,0,away,Portugal,Portugal,Czech Republic,2,0,0-2,L,Lisbon,Portugal
Czech Republic,44,2022-06-05,UEFA Nations League,0,home,Spain,Czech Republic,Spain,2,2,2-2,D,Prague,Czech Republic
Czech Republic,45,2022-06-02,UEFA Nations League,0,home,Switzerland,Czech Republic,Switzerland,2,1,2-1,W,Prague,Czech Republic
